네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
조회기간 : 2020.01.01. ~ 2021.01.01. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","패션의류"
"2020-10-01",50
"2020-10-02",60
"2020-10-03",69
"2020-10-04",84
"2020-10-05",81
"2020-10-06",81
"2020-10-07",75
"2020-10-08",66
"2020-10-09",70
"2020-10-10",73
"2020-10-11",83
"2020-10-12",74
"2020-10-13",77
"2020-10-14",79
"2020-10-15",79
"2020-10-16",74
"2020-10-17",76
"2020-10-18",88
"2020-10-19",81
"2020-10-20",76
"2020-10-21",78
"2020-10-22",74
"2020-10-23",74
"2020-10-24",85
"2020-10-25",98
"2020-10-26",86
"2020-10-27",82
"2020-10-28",78
"2020-10-29",77
"2020-10-30",67
"2020-10-31",73
"2020-11-01",99
"2020-11-02",85
"2020-11-03",97
"2020-11-04",100
"2020-11-05",89
"2020-11-06",76
"2020-11-07",81
"2020-11-08",100
"2020-11-09",94
"2020-11-10",89
"2020-11-11",84
"2020-11-12",80
"2020-11-13",70
"2020-11-14",76
"2020-11-15",90
"2020-11-16",79
"2020-11-17",75
"2020-11-18",73
"2020-11-19",70
"2020-11-20",69
"2020-11-21",75
"2020-11-22",92
"2020-11-23",84
"2020-11-24",81
"2020-11-25",78
"2020-11-26",74
"2020-11-27",70
"2020-11-28",81
"2020-11-29",95
"2020-11-30",85
"2020-12-01",85
"2020-12-02",81
"2020-12-03",78
"2020-12-04",72
"2020-12-05",79
"2020-12-06",87
"2020-12-07",76
"2020-12-08",75
"2020-12-09",75
"2020-12-10",71
"2020-12-11",65
"2020-12-12",71
"2020-12-13",83
"2020-12-14",78
"2020-12-15",78
"2020-12-16",77
"2020-12-17",69
"2020-12-18",61
"2020-12-19",68
"2020-12-20",75
"2020-12-21",64
"2020-12-22",58
"2020-12-23",53
"2020-12-24",44
"2020-12-25",52
"2020-12-26",56
"2020-12-27",62
"2020-12-28",52
"2020-12-29",52
"2020-12-30",53
"2020-12-31",44
"2021-01-01",52
