네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
식품
조회기간 : 2020.01.01. ~ 2021.01.01. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","식품"
"2020-04-08",71
"2020-04-09",68
"2020-04-10",59
"2020-04-11",55
"2020-04-12",66
"2020-04-13",71
"2020-04-14",64
"2020-04-15",60
"2020-04-16",64
"2020-04-17",62
"2020-04-18",55
"2020-04-19",69
"2020-04-20",74
"2020-04-21",72
"2020-04-22",73
"2020-04-23",69
"2020-04-24",60
"2020-04-25",56
"2020-04-26",64
"2020-04-27",73
"2020-04-28",66
"2020-04-29",55
"2020-04-30",51
"2020-05-01",53
"2020-05-02",51
"2020-05-03",58
"2020-05-04",59
"2020-05-05",62
"2020-05-06",66
"2020-05-07",61
"2020-05-08",52
"2020-05-09",50
"2020-05-10",56
"2020-05-11",64
"2020-05-12",65
"2020-05-13",62
"2020-05-14",59
"2020-05-15",55
"2020-05-16",47
"2020-05-17",53
"2020-05-18",65
"2020-05-19",64
"2020-05-20",59
"2020-05-21",58
"2020-05-22",51
"2020-05-23",46
"2020-05-24",54
"2020-05-25",64
"2020-05-26",64
"2020-05-27",61
"2020-05-28",57
"2020-05-29",50
"2020-05-30",46
"2020-05-31",55
"2020-06-01",66
"2020-06-02",66
"2020-06-03",64
"2020-06-04",61
"2020-06-05",51
"2020-06-06",46
"2020-06-07",54
"2020-06-08",63
"2020-06-09",64
"2020-06-10",62
"2020-06-11",59
"2020-06-12",52
"2020-06-13",47
"2020-06-14",55
"2020-06-15",63
"2020-06-16",62
"2020-06-17",60
"2020-06-18",59
"2020-06-19",51
"2020-06-20",45
"2020-06-21",53
"2020-06-22",64
"2020-06-23",62
"2020-06-24",63
"2020-06-25",61
"2020-06-26",52
"2020-06-27",46
"2020-06-28",54
"2020-06-29",66
"2020-06-30",63
"2020-07-01",64
"2020-07-02",61
"2020-07-03",53
"2020-07-04",46
"2020-07-05",54
"2020-07-06",65
"2020-07-07",64
"2020-07-08",63
"2020-07-09",59
"2020-07-10",50
"2020-07-11",47
"2020-07-12",56
"2020-07-13",70
"2020-07-14",68
"2020-07-15",64
"2020-07-16",57
"2020-07-17",51
"2020-07-18",46
"2020-07-19",55
"2020-07-20",65
"2020-07-21",62
"2020-07-22",62
"2020-07-23",61
"2020-07-24",52
"2020-07-25",47
"2020-07-26",52
"2020-07-27",63
"2020-07-28",60
"2020-07-29",60
"2020-07-30",56
"2020-07-31",47
"2020-08-01",47
"2020-08-02",53
"2020-08-03",60
"2020-08-04",59
"2020-08-05",57
"2020-08-06",55
"2020-08-07",51
"2020-08-08",47
"2020-08-09",54
"2020-08-10",63
"2020-08-11",63
"2020-08-12",60
"2020-08-13",53
"2020-08-14",46
"2020-08-15",44
"2020-08-16",48
"2020-08-17",59
"2020-08-18",61
"2020-08-19",63
"2020-08-20",62
"2020-08-21",56
"2020-08-22",53
"2020-08-23",62
"2020-08-24",71
"2020-08-25",70
"2020-08-26",69
"2020-08-27",71
"2020-08-28",61
"2020-08-29",59
"2020-08-30",67
"2020-08-31",75
"2020-09-01",79
"2020-09-02",81
"2020-09-03",74
"2020-09-04",65
"2020-09-05",62
"2020-09-06",74
"2020-09-07",86
"2020-09-08",82
"2020-09-09",64
"2020-09-10",100
"2020-09-11",73
"2020-09-12",68
"2020-09-13",75
"2020-09-14",90
"2020-09-15",87
"2020-09-16",88
"2020-09-17",87
"2020-09-18",74
"2020-09-19",65
"2020-09-20",74
"2020-09-21",91
"2020-09-22",89
"2020-09-23",86
"2020-09-24",79
"2020-09-25",63
"2020-09-26",54
"2020-09-27",57
"2020-09-28",56
"2020-09-29",46
"2020-09-30",39
"2020-10-01",39
"2020-10-02",44
"2020-10-03",51
"2020-10-04",63
"2020-10-05",71
"2020-10-06",70
"2020-10-07",67
"2020-10-08",56
"2020-10-09",51
"2020-10-10",52
"2020-10-11",60
"2020-10-12",68
"2020-10-13",66
"2020-10-14",64
"2020-10-15",61
"2020-10-16",54
"2020-10-17",48
"2020-10-18",55
"2020-10-19",65
"2020-10-20",65
"2020-10-21",65
"2020-10-22",60
"2020-10-23",51
"2020-10-24",47
"2020-10-25",55
"2020-10-26",66
"2020-10-27",65
"2020-10-28",64
"2020-10-29",59
"2020-10-30",51
"2020-10-31",46
"2020-11-01",62
"2020-11-02",67
"2020-11-03",66
"2020-11-04",64
"2020-11-05",63
"2020-11-06",56
"2020-11-07",50
"2020-11-08",58
"2020-11-09",67
"2020-11-10",65
"2020-11-11",62
"2020-11-12",59
"2020-11-13",51
"2020-11-14",48
"2020-11-15",56
"2020-11-16",66
"2020-11-17",66
"2020-11-18",65
"2020-11-19",63
"2020-11-20",53
"2020-11-21",50
"2020-11-22",61
"2020-11-23",70
"2020-11-24",67
"2020-11-25",67
"2020-11-26",66
"2020-11-27",58
"2020-11-28",55
"2020-11-29",65
"2020-11-30",70
"2020-12-01",72
"2020-12-02",71
"2020-12-03",68
"2020-12-04",60
"2020-12-05",58
"2020-12-06",68
"2020-12-07",75
"2020-12-08",74
"2020-12-09",76
"2020-12-10",74
"2020-12-11",67
"2020-12-12",63
"2020-12-13",75
"2020-12-14",84
"2020-12-15",83
"2020-12-16",83
"2020-12-17",82
"2020-12-18",70
"2020-12-19",70
"2020-12-20",80
"2020-12-21",89
"2020-12-22",83
"2020-12-23",75
"2020-12-24",57
"2020-12-25",56
"2020-12-26",64
"2020-12-27",75
"2020-12-28",84
"2020-12-29",77
"2020-12-30",71
"2020-12-31",56
"2021-01-01",61
